id,Segment,Country,Product,Units Sold,Manufacturing,Sale Price,Gross Sales,Discounts,Discount Band,Sales,COGS,Profit,Date,Month Number,Month Name
427,discrete,China,nisi,2532,37.37,120.844,305977.008,,None,305977.008,211356.168,211356.168,9/16/2015 0:00,9,September
428,matrix,Kenya,pellentesque,4180,24.04,150.848,630544.64,,None,630544.64,530057.44,530057.44,8/2/2012 0:00,8,August
429,static,Colombia,justo,1900,175.67,390.804,742527.6,,None,742527.6,408754.6,408754.6,7/8/2017 0:00,7,July
430,Digitized,Norway,dui,3876,236.91,317.292,1229823.792,,None,1229823.792,311560.632,311560.632,3/28/2018 0:00,3,March
431,multi-state,Japan,semper,4087,217.97,353.564,1445016.068,0.05,Discount Applied,1445016.068,554172.678,554172.678,1/26/2022 0:00,1,January
432,De-engineered,Indonesia,ligula,816,57.4,134.88,110062.08,,None,110062.08,63223.68,63223.68,9/11/2010 0:00,9,September
433,object-oriented,Sweden,ligula,642,187.41,398.892,256088.664,,None,256088.664,135771.444,135771.444,7/7/2015 0:00,7,July
434,protocol,Belarus,eget,4362,247.34,306.808,1338296.496,,None,1338296.496,259399.416,259399.416,3/21/2022 0:00,3,March
435,Robust,Indonesia,duis,2588,66.71,103.052,266698.576,,None,266698.576,94053.096,94053.096,5/1/2018 0:00,5,May
436,logistical,United States,tempus,863,92.73,181.276,156441.188,,None,156441.188,76415.198,76415.198,9/1/2016 0:00,9,September
437,website,China,erat,2303,170.8,338.96,780624.88,,None,780624.88,387272.48,387272.48,4/5/2019 0:00,4,April
438,groupware,Poland,fusce,3576,69.95,216.94,775777.44,,None,775777.44,525636.24,525636.24,8/22/2016 0:00,8,August
439,Enhanced,Indonesia,dapibus,1024,166.9,204.28,209182.72,,None,209182.72,38277.12,38277.12,9/25/2021 0:00,9,September
440,Re-engineered,Portugal,vehicula,3582,128.64,169.368,606676.176,,None,606676.176,145887.696,145887.696,10/27/2017 0:00,10,October
441,Stand-alone,Poland,libero,1789,178.63,349.356,624997.884,,None,624997.884,305428.814,305428.814,11/9/2021 0:00,11,November
442,array,United States,imperdiet,2422,169.61,205.532,497798.504,0.03,Discount Applied,497798.504,87003.084,87003.084,12/2/2015 0:00,12,December
443,Synchronised,Brazil,platea,3114,212.81,263.372,820140.408,,None,820140.408,157450.068,157450.068,6/17/2012 0:00,6,June
444,real-time,Portugal,tortor,1387,136.97,361.364,501211.868,,None,501211.868,311234.478,311234.478,12/15/2016 0:00,12,December
445,web-enabled,France,id,1901,60.32,197.384,375226.984,,None,375226.984,260558.664,260558.664,4/5/2015 0:00,4,April
446,Enhanced,Russia,justo,2182,233.77,451.524,985225.368,,None,985225.368,475139.228,475139.228,1/29/2015 0:00,1,January
447,website,Palestinian Territory,donec,1606,235.63,363.756,584192.136,,None,584192.136,205770.356,205770.356,10/5/2016 0:00,10,October
448,Intuitive,Nicaragua,sit,512,238.76,463.512,237318.144,,None,237318.144,115073.024,115073.024,6/11/2015 0:00,6,June
449,context-sensitive,Thailand,nibh,2456,31.58,60.896,149560.576,,None,149560.576,72000.096,72000.096,12/31/2018 0:00,12,December
450,upward-trending,Mayotte,in,3201,6.65,158.98,508894.98,0.06,Discount Applied,508894.98,487608.33,487608.33,7/23/2020 0:00,7,July
451,user-facing,Argentina,amet,2692,108.91,162.692,437966.864,,None,437966.864,144781.144,144781.144,9/29/2017 0:00,9,September
452,clear-thinking,China,a,3451,194.12,308.944,1066165.744,,None,1066165.744,396257.624,396257.624,7/1/2011 0:00,7,July
453,De-engineered,Armenia,nullam,2848,9.72,112.664,320867.072,,None,320867.072,293184.512,293184.512,8/8/2015 0:00,8,August
454,Synergistic,Portugal,vestibulum,463,194.46,431.352,199715.976,,None,199715.976,109680.996,109680.996,12/6/2011 0:00,12,December
455,support,Russia,adipiscing,2231,150,231,515361,,None,515361,180711,180711,3/26/2011 0:00,3,March
456,Multi-layered,China,id,2106,111.48,216.776,456530.256,,None,456530.256,221753.376,221753.376,8/30/2020 0:00,8,August
457,asynchronous,Russia,interdum,3657,210.41,257.492,941648.244,,None,941648.244,172178.874,172178.874,6/29/2010 0:00,6,June
458,Graphic Interface,Syria,elementum,4303,228.71,448.452,1929688.956,,None,1929688.956,945549.826,945549.826,10/6/2019 0:00,10,October
459,Programmable,Pakistan,quis,645,65.11,170.132,109735.14,,None,109735.14,67739.19,67739.19,3/17/2019 0:00,3,March
460,firmware,Philippines,eget,1606,121.61,235.932,378906.792,,None,378906.792,183601.132,183601.132,8/14/2020 0:00,8,August
461,artificial intelligence,Benin,sit,670,73.78,147.536,98849.12,,None,98849.12,49416.52,49416.52,4/22/2014 0:00,4,April
462,Advanced,Thailand,fermentum,1201,60.15,204.18,245220.18,0.03,Discount Applied,245220.18,172980.03,172980.03,9/28/2010 0:00,9,September
463,zero tolerance,Kazakhstan,rutrum,3007,215.05,396.06,1190952.42,,None,1190952.42,544297.07,544297.07,1/2/2011 0:00,1,January
464,Vision-oriented,China,volutpat,3522,40.22,229.264,807467.808,,None,807467.808,665812.968,665812.968,2/20/2014 0:00,2,February
465,discrete,Brazil,placerat,2330,166.98,336.376,783756.08,,None,783756.08,394692.68,394692.68,8/17/2017 0:00,8,August
466,approach,Indonesia,sit,1631,128.44,259.128,422637.768,,None,422637.768,213152.128,213152.128,8/9/2020 0:00,8,August
467,system-worthy,Indonesia,sociis,2367,31.12,78.344,185440.248,,None,185440.248,111779.208,111779.208,8/12/2012 0:00,8,August
468,background,Russia,et,1803,115.81,288.972,521016.516,,None,521016.516,312211.086,312211.086,4/30/2014 0:00,4,April
469,archive,Vietnam,quam,523,140.53,362.636,189658.628,,None,189658.628,116161.438,116161.438,5/27/2016 0:00,5,May
470,Intuitive,Peru,non,741,99,273.8,202885.8,,None,202885.8,129526.8,129526.8,4/2/2017 0:00,4,April
471,Persistent,Luxembourg,lectus,1045,247.72,459.264,479930.88,,None,479930.88,221063.48,221063.48,2/9/2021 0:00,2,February
472,strategy,China,orci,1975,82.77,137.324,271214.9,,None,271214.9,107744.15,107744.15,11/2/2016 0:00,11,November
473,upward-trending,Venezuela,tempor,3659,12.05,125.46,459058.14,,None,459058.14,414967.19,414967.19,4/14/2019 0:00,4,April
474,zero tolerance,Brazil,nibh,1042,93.97,304.764,317564.088,,None,317564.088,219647.348,219647.348,9/30/2013 0:00,9,September
475,24 hour,Luxembourg,vivamus,1929,197.94,329.528,635659.512,,None,635659.512,253833.252,253833.252,8/17/2014 0:00,8,August
476,capacity,Russia,elementum,1247,173.33,381.996,476349.012,,None,476349.012,260206.502,260206.502,9/9/2018 0:00,9,September
477,Universal,China,vitae,3820,248.33,451.996,1726624.72,0.06,Discount Applied,1726624.72,778004.12,778004.12,8/15/2017 0:00,8,August
478,orchestration,Indonesia,et,1522,123.43,152.116,231520.552,,None,231520.552,43660.092,43660.092,12/9/2016 0:00,12,December
479,Compatible,Ukraine,phasellus,3759,69.8,164.76,619332.84,,None,619332.84,356954.64,356954.64,11/2/2016 0:00,11,November
480,foreground,North Korea,sit,1978,68.66,165.392,327145.376,,None,327145.376,191335.896,191335.896,2/21/2019 0:00,2,February
481,Optional,Portugal,tempor,3922,29.13,186.956,733241.432,,None,733241.432,618993.572,618993.572,9/12/2012 0:00,9,September
482,foreground,Russia,magnis,4228,118.27,171.924,726894.672,,None,726894.672,226849.112,226849.112,11/26/2020 0:00,11,November
483,needs-based,Myanmar,fusce,2882,34.02,238.824,688290.768,,None,688290.768,590245.128,590245.128,1/3/2020 0:00,1,January
484,national,Bangladesh,sem,623,97.79,169.348,105503.804,,None,105503.804,44580.634,44580.634,2/19/2015 0:00,2,February
485,Advanced,Norway,nulla,4491,92.91,214.492,963283.572,,None,963283.572,546024.762,546024.762,11/16/2018 0:00,11,November
486,Synergized,China,mus,113,30.54,127.648,14424.224,,None,14424.224,10973.204,10973.204,10/2/2017 0:00,10,October
487,Networked,Mexico,maecenas,1271,172.64,358.168,455231.528,,None,455231.528,235806.088,235806.088,12/13/2014 0:00,12,December
488,responsive,China,integer,3749,93.28,130.936,490879.064,,None,490879.064,141172.344,141172.344,10/11/2013 0:00,10,October
489,needs-based,Japan,leo,3972,24.94,94.928,377054.016,,None,377054.016,277992.336,277992.336,10/9/2018 0:00,10,October
490,Fully-configurable,Indonesia,mollis,974,164.15,225.98,220104.52,,None,220104.52,60222.42,60222.42,2/15/2021 0:00,2,February
491,content-based,Argentina,quam,2254,54.13,205.956,464224.824,,None,464224.824,342215.804,342215.804,7/19/2015 0:00,7,July
492,systemic,Poland,vel,1371,222.9,278.48,381796.08,0.08,Discount Applied,381796.08,76200.18,76200.18,11/7/2017 0:00,11,November
493,fault-tolerant,Japan,convallis,4244,154.91,238.892,1013857.648,,None,1013857.648,356419.608,356419.608,10/22/2020 0:00,10,October
494,matrices,Panama,nisl,2031,42.43,102.916,209022.396,,None,209022.396,122847.066,122847.066,6/5/2013 0:00,6,June
495,task-force,Philippines,sed,4267,78.47,281.164,1199726.788,,None,1199726.788,864895.298,864895.298,5/8/2019 0:00,5,May
496,installation,China,etiam,4356,14.78,167.736,730658.016,,None,730658.016,666276.336,666276.336,6/30/2011 0:00,6,June
497,customer loyalty,China,ut,3984,147.43,325.916,1298449.344,,None,1298449.344,711088.224,711088.224,6/9/2012 0:00,6,June
498,Focused,Sweden,ultrices,2889,17.06,149.472,431824.608,,None,431824.608,382538.268,382538.268,4/1/2016 0:00,4,April
499,Upgradable,Costa Rica,et,962,203.05,384.66,370042.92,,None,370042.92,174708.82,174708.82,12/3/2021 0:00,12,December
500,encoding,Thailand,ut,742,142.17,288.604,214144.168,,None,214144.168,108654.028,108654.028,12/26/2014 0:00,12,December
501,challenge,Philippines,nulla,4482,152.56,213.072,954988.704,,None,954988.704,271214.784,271214.784,11/26/2021 0:00,11,November
502,artificial intelligence,Brazil,nulla,4327,54.63,198.556,859151.812,,None,859151.812,622767.802,622767.802,4/15/2013 0:00,4,April
503,modular,Sierra Leone,velit,1867,223.01,345.612,645257.604,,None,645257.604,228897.934,228897.934,1/17/2022 0:00,1,January
504,fresh-thinking,Nigeria,luctus,4221,216.33,433.596,1830208.716,,None,1830208.716,917079.786,917079.786,6/25/2010 0:00,6,June
505,Up-sized,Thailand,nibh,3680,167.3,268.76,989036.8,,None,989036.8,373372.8,373372.8,3/6/2014 0:00,3,March
506,algorithm,Panama,aliquam,4315,221.85,345.22,1489624.3,,None,1489624.3,532341.55,532341.55,4/24/2011 0:00,4,April
507,Decentralized,France,magnis,3788,70.94,236.128,894452.864,,None,894452.864,625732.144,625732.144,11/19/2016 0:00,11,November
508,empowering,Moldova,volutpat,1963,153.53,277.236,544214.268,,None,544214.268,242834.878,242834.878,4/30/2020 0:00,4,April
509,functionalities,Philippines,vel,2025,87.93,259.516,525519.9,,None,525519.9,347461.65,347461.65,4/21/2022 0:00,4,April
510,Profound,Yemen,vestibulum,292,243.82,392.584,114634.528,,None,114634.528,43439.088,43439.088,2/8/2014 0:00,2,February
511,motivating,Indonesia,ipsum,2239,151.13,326.356,730711.084,,None,730711.084,392331.014,392331.014,1/2/2012 0:00,1,January
512,system engine,Indonesia,nunc,1017,122.97,251.564,255840.588,,None,255840.588,130780.098,130780.098,9/17/2019 0:00,9,September
513,dedicated,Indonesia,turpis,609,108.71,189.452,115376.268,,None,115376.268,49171.878,49171.878,1/20/2020 0:00,1,January
514,portal,China,tortor,3531,206.81,280.172,989287.332,,None,989287.332,259041.222,259041.222,5/13/2019 0:00,5,May
515,mission-critical,Russia,augue,2712,167.47,218.964,593830.368,,None,593830.368,139651.728,139651.728,8/7/2014 0:00,8,August
516,open architecture,Russia,faucibus,4126,107.74,309.288,1276122.288,,None,1276122.288,831587.048,831587.048,12/1/2020 0:00,12,December
517,Optimized,China,donec,3187,238.06,302.672,964615.664,,None,964615.664,205918.444,205918.444,1/31/2012 0:00,1,January
518,tangible,Indonesia,neque,2186,206.8,305.16,667079.76,,None,667079.76,215014.96,215014.96,10/12/2018 0:00,10,October
519,asymmetric,Peru,massa,4161,143.63,327.356,1362128.316,,None,1362128.316,764483.886,764483.886,9/3/2010 0:00,9,September
520,system engine,Spain,maecenas,1585,139.7,256.64,406774.4,,None,406774.4,185349.9,185349.9,7/26/2014 0:00,7,July
521,application,China,turpis,2592,62.81,220.372,571204.224,,None,571204.224,408400.704,408400.704,5/15/2019 0:00,5,May
522,24 hour,Chile,ultrices,609,211.53,373.836,227666.124,,None,227666.124,98844.354,98844.354,6/23/2020 0:00,6,June
523,Centralized,China,natoque,2133,29.38,36.256,77334.048,,None,77334.048,14666.508,14666.508,4/3/2015 0:00,4,April
524,policy,Bulgaria,rutrum,2143,193.98,261.776,560985.968,,None,560985.968,145286.828,145286.828,12/24/2012 0:00,12,December
525,dynamic,Ivory Coast,orci,2888,156.94,303.328,876011.264,,None,876011.264,422768.544,422768.544,12/24/2011 0:00,12,December
526,moderator,Jamaica,bibendum,3179,237,420.4,1336451.6,,None,1336451.6,583028.6,583028.6,12/26/2018 0:00,12,December
527,Distributed,Brazil,quis,51,120.17,174.204,8884.404,,None,8884.404,2755.734,2755.734,8/10/2018 0:00,8,August
528,Balanced,Philippines,elementum,3240,25.61,147.732,478651.68,,None,478651.68,395675.28,395675.28,4/9/2021 0:00,4,April
529,hardware,Argentina,proin,1994,113.85,207.62,413994.28,,None,413994.28,186977.38,186977.38,7/28/2018 0:00,7,July
530,groupware,Norway,sapien,95,248.62,416.344,39552.68,,None,39552.68,15933.78,15933.78,12/23/2017 0:00,12,December
531,demand-driven,Indonesia,eget,2005,128.91,214.692,430457.46,,None,430457.46,171992.91,171992.91,2/21/2020 0:00,2,February
532,Stand-alone,Thailand,enim,2471,14.32,175.184,432879.664,,None,432879.664,397494.944,397494.944,2/3/2014 0:00,2,February
533,even-keeled,Indonesia,libero,2644,12.18,126.616,334772.704,,None,334772.704,302568.784,302568.784,4/17/2020 0:00,4,April
534,transitional,Brazil,lorem,674,126.53,196.836,132667.464,,None,132667.464,47386.244,47386.244,7/12/2016 0:00,7,July
535,extranet,China,odio,314,212.52,344.024,108023.536,,None,108023.536,41292.256,41292.256,6/27/2017 0:00,6,June
536,Multi-channelled,Hungary,in,553,140.12,339.144,187546.632,,None,187546.632,110060.272,110060.272,7/29/2019 0:00,7,July
537,attitude-oriented,Greece,tristique,2520,159.42,228.304,575326.08,,None,575326.08,173587.68,173587.68,7/29/2018 0:00,7,July
538,neural-net,China,scelerisque,2623,37.88,70.456,184806.088,,None,184806.088,85446.848,85446.848,7/12/2014 0:00,7,July
539,Seamless,Botswana,turpis,3334,118.85,214.62,715543.08,,None,715543.08,319297.18,319297.18,7/26/2017 0:00,7,July
540,Phased,Thailand,sollicitudin,3943,46.03,60.236,237510.548,,None,237510.548,56014.258,56014.258,3/10/2018 0:00,3,March
541,local area network,Indonesia,a,605,181,257.2,155606,,None,155606,46101,46101,11/23/2016 0:00,11,November
542,function,Russia,maecenas,3419,247.09,311.508,1065045.852,,None,1065045.852,220245.142,220245.142,7/4/2021 0:00,7,July
543,optimizing,China,condimentum,3696,105.39,324.468,1199233.728,,None,1199233.728,809712.288,809712.288,10/29/2013 0:00,10,October
544,User-centric,Botswana,fusce,2195,20.64,33.768,74120.76,,None,74120.76,28815.96,28815.96,7/14/2013 0:00,7,July
545,clear-thinking,China,tristique,1436,23.16,181.792,261053.312,,None,261053.312,227795.552,227795.552,3/28/2013 0:00,3,March
546,Advanced,Ukraine,mollis,1111,239.28,358.136,397889.096,,None,397889.096,132049.016,132049.016,4/20/2011 0:00,4,April
547,didactic,Russia,ligula,2202,121.67,223.004,491054.808,,None,491054.808,223137.468,223137.468,9/22/2016 0:00,9,September
548,Synergized,Indonesia,etiam,2074,170.39,349.468,724796.632,,None,724796.632,371407.772,371407.772,8/4/2019 0:00,8,August
549,process improvement,Philippines,tellus,2575,148.95,214.74,552955.5,,None,552955.5,169409.25,169409.25,6/13/2016 0:00,6,June
550,parallelism,China,odio,773,102.73,228.276,176457.348,,None,176457.348,97047.058,97047.058,5/15/2017 0:00,5,May
551,hybrid,France,leo,4413,92.4,282.88,1248349.44,,None,1248349.44,840588.24,840588.24,2/18/2015 0:00,2,February
552,Synergistic,Peru,eros,4482,136.67,332.004,1488041.928,,None,1488041.928,875486.988,875486.988,8/31/2015 0:00,8,August
553,Proactive,Indonesia,blandit,3128,180.43,416.516,1302862.048,,None,1302862.048,738477.008,738477.008,9/12/2020 0:00,9,September
554,Integrated,Russia,viverra,4264,115.95,314.14,1339492.96,,None,1339492.96,845082.16,845082.16,2/3/2019 0:00,2,February
555,moderator,China,tempus,3169,245.94,490.128,1553215.632,,None,1553215.632,773831.772,773831.772,1/17/2012 0:00,1,January
556,groupware,Indonesia,sed,3418,54.04,252.848,864234.464,,None,864234.464,679525.744,679525.744,4/2/2013 0:00,4,April
557,middleware,China,sed,2415,245.76,427.912,1033407.48,,None,1033407.48,439897.08,439897.08,6/17/2019 0:00,6,June
558,Cross-group,Indonesia,quisque,4110,30.14,133.168,547320.48,,None,547320.48,423445.08,423445.08,8/3/2011 0:00,8,August
559,systemic,France,massa,3240,6.08,50.296,162959.04,,None,162959.04,143259.84,143259.84,10/30/2014 0:00,10,October
560,neutral,Ukraine,integer,3102,72.07,172.484,535045.368,,None,535045.368,311484.228,311484.228,4/20/2012 0:00,4,April
561,throughput,Russia,et,3214,76.27,162.524,522352.136,,None,522352.136,277220.356,277220.356,1/18/2021 0:00,1,January
562,homogeneous,Chile,vel,3709,172.91,355.492,1318519.828,,None,1318519.828,677196.638,677196.638,5/31/2018 0:00,5,May
563,optimal,Sweden,eget,3120,137.56,182.072,568064.64,0.07,Discount Applied,568064.64,138877.44,138877.44,2/15/2015 0:00,2,February
564,well-modulated,Portugal,metus,1668,127.09,171.508,286075.344,,None,286075.344,74089.224,74089.224,3/20/2011 0:00,3,March
565,capability,China,augue,1706,140.81,295.972,504928.232,,None,504928.232,264706.372,264706.372,11/3/2010 0:00,11,November
566,Cross-group,Czech Republic,hac,1271,159.01,258.812,328950.052,,None,328950.052,126848.342,126848.342,1/7/2020 0:00,1,January
567,Polarised,South Africa,posuere,1201,173.68,277.416,333176.616,,None,333176.616,124586.936,124586.936,1/28/2022 0:00,1,January
568,foreground,Indonesia,elementum,228,23.35,45.02,10264.56,,None,10264.56,4940.76,4940.76,12/11/2020 0:00,12,December
569,Fundamental,China,varius,3806,159.02,215.824,821426.144,,None,821426.144,216196.024,216196.024,1/12/2011 0:00,1,January
570,Configurable,China,penatibus,3174,223.36,430.032,1364921.568,,None,1364921.568,655976.928,655976.928,12/1/2016 0:00,12,December
571,empowering,China,libero,1089,195.37,330.444,359853.516,,None,359853.516,147095.586,147095.586,10/29/2017 0:00,10,October
572,adapter,Paraguay,mauris,1572,105.66,315.792,496425.024,,None,496425.024,330327.504,330327.504,1/24/2021 0:00,1,January
573,user-facing,Poland,nisl,3926,4.23,125.076,491048.376,,None,491048.376,474441.396,474441.396,7/27/2019 0:00,7,July
574,explicit,Indonesia,orci,4210,36.92,230.304,969579.84,,None,969579.84,814146.64,814146.64,6/23/2020 0:00,6,June
575,task-force,China,varius,3715,190.22,363.264,1349525.76,,None,1349525.76,642858.46,642858.46,11/2/2012 0:00,11,November
576,Operative,Indonesia,lectus,3577,27.43,129.916,464709.532,,None,464709.532,366592.422,366592.422,4/19/2013 0:00,4,April
577,Virtual,China,eget,3017,46.97,245.364,740263.188,,None,740263.188,598554.698,598554.698,1/6/2014 0:00,1,January
578,methodology,United Kingdom,nam,2340,71.73,283.076,662397.84,0.08,Discount Applied,662397.84,494549.64,494549.64,2/16/2021 0:00,2,February
579,systemic,Argentina,congue,4329,224.76,286.712,1241176.248,,None,1241176.248,268190.208,268190.208,4/5/2016 0:00,4,April
580,initiative,Colombia,ut,2212,124.67,302.604,669360.048,,None,669360.048,393590.008,393590.008,1/4/2020 0:00,1,January
581,motivating,Italy,amet,3192,26.99,79.388,253406.496,,None,253406.496,167254.416,167254.416,1/2/2012 0:00,1,January
582,Focused,Indonesia,cum,782,85.78,253.936,198577.952,,None,198577.952,131497.992,131497.992,12/4/2012 0:00,12,December
583,multi-tasking,China,in,3086,227.61,438.132,1352075.352,,None,1352075.352,649670.892,649670.892,11/27/2019 0:00,11,November
584,4th generation,Faroe Islands,felis,160,131.7,267.04,42726.4,,None,42726.4,21654.4,21654.4,4/18/2015 0:00,4,April
585,Digitized,Sweden,interdum,437,229.57,398.484,174137.508,,None,174137.508,73815.418,73815.418,7/12/2019 0:00,7,July
586,non-volatile,China,et,4414,236.66,408.992,1805290.688,,None,1805290.688,760673.448,760673.448,11/26/2021 0:00,11,November
587,upward-trending,Indonesia,massa,1821,44.36,111.232,202553.472,,None,202553.472,121773.912,121773.912,7/28/2011 0:00,7,July
588,national,Greece,curae,3820,33.77,192.524,735441.68,,None,735441.68,606440.28,606440.28,2/28/2012 0:00,2,February
589,functionalities,Thailand,justo,3197,211.89,440.268,1407536.796,,None,1407536.796,730124.466,730124.466,11/7/2015 0:00,11,November
590,maximized,Thailand,porttitor,4281,114.52,179.424,768114.144,,None,768114.144,277854.024,277854.024,12/19/2016 0:00,12,December
591,Universal,Colombia,mattis,2898,112.8,219.36,635705.28,,None,635705.28,308810.88,308810.88,10/31/2019 0:00,10,October
592,synergy,United States,posuere,1716,148.16,184.792,317103.072,,None,317103.072,62860.512,62860.512,8/30/2020 0:00,8,August
593,logistical,Indonesia,pellentesque,1067,189.74,367.688,392323.096,,None,392323.096,189870.516,189870.516,6/14/2015 0:00,6,June
594,real-time,Poland,et,2650,34.7,61.64,163346,,None,163346,71391,71391,12/31/2020 0:00,12,December
595,mobile,China,maecenas,3458,79.24,253.088,875178.304,,None,875178.304,601166.384,601166.384,11/29/2012 0:00,11,November
596,Persevering,Russia,quis,998,199.52,264.424,263895.152,,None,263895.152,64774.192,64774.192,4/17/2018 0:00,4,April
597,dynamic,Norway,velit,4229,100.88,232.056,981364.824,0.03,Discount Applied,981364.824,554743.304,554743.304,12/31/2020 0:00,12,December
598,Persevering,China,hac,2784,147.8,289.36,805578.24,,None,805578.24,394103.04,394103.04,8/10/2013 0:00,8,August
599,reciprocal,Moldova,nullam,2660,56.46,104.752,278640.32,,None,278640.32,128456.72,128456.72,11/29/2010 0:00,11,November
600,Business-focused,Brazil,dui,3758,55.7,134.84,506728.72,,None,506728.72,297408.12,297408.12,4/10/2016 0:00,4,April
601,Multi-layered,China,scelerisque,804,164.93,222.916,179224.464,,None,179224.464,46620.744,46620.744,4/9/2019 0:00,4,April
602,Visionary,Japan,odio,692,81.92,191.304,132382.368,,None,132382.368,75693.728,75693.728,11/1/2012 0:00,11,November
603,middleware,South Korea,libero,1272,192.22,426.664,542716.608,,None,542716.608,298212.768,298212.768,2/11/2016 0:00,2,February
604,maximized,Canada,orci,3717,9.1,52.92,196703.64,,None,196703.64,162878.94,162878.94,11/16/2010 0:00,11,November
605,local,North Korea,nisi,2123,90.4,149.48,317346.04,,None,317346.04,125426.84,125426.84,7/31/2012 0:00,7,July
606,holistic,Colombia,vulputate,566,131.03,274.236,155217.576,,None,155217.576,81054.596,81054.596,6/20/2016 0:00,6,June
607,next generation,China,erat,3184,242.09,393.508,1252929.472,,None,1252929.472,482114.912,482114.912,8/27/2019 0:00,8,August
608,concept,Russia,eu,2292,141.15,170.38,390510.96,,None,390510.96,66995.16,66995.16,1/15/2014 0:00,1,January
609,Phased,China,cubilia,4476,174.45,261.34,1169757.84,0.06,Discount Applied,1169757.84,388919.64,388919.64,4/17/2020 0:00,4,April
610,disintermediate,China,suspendisse,4388,109.02,195.824,859275.712,,None,859275.712,380895.952,380895.952,4/30/2019 0:00,4,April
611,benchmark,Philippines,id,4389,226.76,324.112,1422527.568,,None,1422527.568,427277.928,427277.928,6/10/2018 0:00,6,June
612,Enhanced,China,nibh,603,79.7,157.64,95056.92,,None,95056.92,46997.82,46997.82,5/31/2019 0:00,5,May
613,Fundamental,Ukraine,proin,658,154.75,197.7,130086.6,,None,130086.6,28261.1,28261.1,9/27/2010 0:00,9,September
614,Graphical User Interface,Mexico,nec,2315,83.03,171.636,397337.34,,None,397337.34,205122.89,205122.89,4/13/2019 0:00,4,April
615,bandwidth-monitored,Indonesia,erat,2898,77.55,153.06,443567.88,,None,443567.88,218827.98,218827.98,8/26/2015 0:00,8,August
616,Self-enabling,Peru,massa,1364,76.71,155.052,211490.928,,None,211490.928,106858.488,106858.488,2/17/2020 0:00,2,February
617,interface,Poland,ultrices,1377,193.27,401.924,553449.348,,None,553449.348,287316.558,287316.558,12/21/2014 0:00,12,December
618,Upgradable,Kosovo,amet,4165,108.78,303.536,1264227.44,,None,1264227.44,811158.74,811158.74,7/12/2020 0:00,7,July
619,emulation,Ivory Coast,vel,673,86.64,155.968,104966.464,,None,104966.464,46657.744,46657.744,6/25/2018 0:00,6,June
620,directional,Nepal,nulla,2693,150.51,267.612,720679.116,,None,720679.116,315355.686,315355.686,12/14/2013 0:00,12,December
621,focus group,Japan,sagittis,3564,139.8,226.76,808172.64,,None,808172.64,309925.44,309925.44,8/21/2011 0:00,8,August
622,encoding,China,sapien,507,34.34,46.208,23427.456,0.03,Discount Applied,23427.456,6017.076,6017.076,9/22/2012 0:00,9,September
623,Digitized,Japan,tortor,475,191.94,374.328,177805.8,,None,177805.8,86634.3,86634.3,10/14/2012 0:00,10,October
624,Managed,China,at,4152,80.19,159.228,661114.656,,None,661114.656,328165.776,328165.776,10/24/2014 0:00,10,October
625,modular,China,varius,4393,216.78,265.136,1164742.448,,None,1164742.448,212427.908,212427.908,9/27/2019 0:00,9,September
626,Ameliorated,Argentina,justo,3846,162.84,382.408,1470741.168,,None,1470741.168,844458.528,844458.528,1/13/2012 0:00,1,January
627,policy,Philippines,nisl,4217,141.89,236.268,996342.156,,None,996342.156,397992.026,397992.026,4/11/2012 0:00,4,April
628,throughput,Cyprus,in,1652,185.6,249.72,412537.44,,None,412537.44,105926.24,105926.24,3/6/2017 0:00,3,March
629,incremental,Poland,ut,3206,59.54,241.448,774082.288,,None,774082.288,583197.048,583197.048,3/5/2022 0:00,3,March
630,Object-based,Russia,orci,3635,14.92,20.904,75986.04,,None,75986.04,21751.84,21751.84,7/26/2017 0:00,7,July
631,high-level,Brazil,elementum,2534,154.46,210.352,533031.968,,None,533031.968,141630.328,141630.328,8/14/2016 0:00,8,August
632,Implemented,Pakistan,mauris,707,130.33,256.396,181271.972,,None,181271.972,89128.662,89128.662,12/14/2020 0:00,12,December
633,Cross-platform,China,justo,3708,210.16,434.192,1609983.936,,None,1609983.936,830710.656,830710.656,1/11/2011 0:00,1,January
634,Grass-roots,China,dolor,526,45.47,121.564,63942.664,0.1,Discount Applied,63942.664,40025.444,40025.444,5/3/2017 0:00,5,May
635,foreground,Sweden,curabitur,3918,203.09,429.708,1683595.944,,None,1683595.944,887889.324,887889.324,5/5/2012 0:00,5,May
636,Sharable,Solomon Islands,quam,1576,50.56,228.672,360387.072,,None,360387.072,280704.512,280704.512,5/8/2022 0:00,5,May
637,matrices,China,in,899,100.99,190.188,170979.012,,None,170979.012,80189.002,80189.002,10/21/2010 0:00,10,October
638,orchestration,Portugal,sapien,2280,118.97,156.764,357421.92,0.03,Discount Applied,357421.92,86170.32,86170.32,9/12/2019 0:00,9,September
639,web-enabled,Canada,parturient,4386,44.02,198.824,872042.064,,None,872042.064,678970.344,678970.344,1/9/2022 0:00,1,January
640,secondary,China,leo,2433,52.91,83.492,203136.036,,None,203136.036,74406.006,74406.006,10/10/2015 0:00,10,October
641,content-based,Nicaragua,fusce,3355,63.36,120.032,402707.36,,None,402707.36,190134.56,190134.56,11/19/2016 0:00,11,November
642,Team-oriented,Portugal,erat,517,22.93,99.516,51449.772,,None,51449.772,39594.962,39594.962,7/2/2016 0:00,7,July
